name	descr	pvalue	qvalue	NES	ES
CYTOPLASM ORGANIZATION%GOBP%GO:0007028	POSITIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS	0.308	0.996069571524487	1.09114022483741	0.335021406341704
OLIGOSACCHARIDE METABOLIC PROCESS%GOBP%GO:0009311	CD8-POSITIVE, ALPHA-BETA T CELL HOMEOSTASIS	0.708588957055215	1	-0.81774276994856	-0.386444645492133
DEOXYADENOSINE CATABOLIC PROCESS%GOBP%GO:0006157	REGULATION OF IRE1-MEDIATED UNFOLDED PROTEIN RESPONSE	0.649275362318841	1	0.839872249864375	0.340199211420075
CELLULAR HYPOTONIC RESPONSE%GOBP%GO:0071476	MACROMOLECULE METHYLATION	0.158381502890173	0.845085648189706	-1.19862559887001	-0.377887757449705
AMINO-ACID BETAINE TRANSPORT%GOBP%GO:0015838	GLYCOLIPID BIOSYNTHETIC PROCESS	0.784237726098191	1	-0.811867039175284	-0.279302869031068
REGULATION OF ACTIN FILAMENT LENGTH%GOBP%GO:0030832	REGULATION OF VIRAL GENOME REPLICATION	0.584158415841584	1	0.963355774200148	0.272953659098628
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION%GOBP%GO:0010718	EXTRACELLULAR TRANSPORT	0.0552147239263804	0.633272783356754	-1.45833994126089	-0.689174740906645
REGULATION OF PLASMA MEMBRANE REPAIR%GOBP%GO:1905684	NEGATIVE REGULATION OF GENE EXPRESSION, EPIGENETIC	0.848720800889878	1	-0.811119264637433	-0.246100254979981
MITOCHONDRIAL MRNA PROCESSING%GOBP%GO:0090615	CELLULAR RESPONSE TO TYPE II INTERFERON	0.947229551451187	1	-0.642063316580876	-0.23680664145821
REGULATION OF SKELETAL MUSCLE CONTRACTION BY CHEMO-MECHANICAL ENERGY CONVERSION%GOBP%GO:0014862	REGULATION OF SISTER CHROMATID COHESION	0.847305389221557	1	0.72397138227046	0.27996772821051
PHOSPHATIDYLETHANOLAMINE BIOSYNTHETIC PROCESS%GOBP%GO:0006646	NEGATIVE REGULATION OF MYELOID CELL DIFFERENTIATION	0.836411609498681	1	-0.7505959206309	-0.276835780002777
ISOPRENOID TRANSPORT%GOBP%GO:0046864	GERM CELL DEVELOPMENT	0.933171324422843	1	-0.714532796834877	-0.235444617484755
REGULATION OF TRANSLATION INVOLVED IN CELLULAR RESPONSE TO UV%GOBP%GO:1904803	PHOSPHATIDYLINOSITOL 3-KINASE/PROTEIN KINASE B SIGNAL TRANSDUCTION	0.872703412073491	1	-0.706289015117595	-0.265721861441336
REGULATION OF MAST CELL DIFFERENTIATION%GOBP%GO:0060375	REGULATION OF METAL ION TRANSPORT	0.414814814814815	1	1.00421858084173	0.252754455584454
POSITIVE REGULATION OF TETRAPYRROLE BIOSYNTHETIC PROCESS%GOBP%GO:1901465	POSITIVE REGULATION OF AXONOGENESIS	0.568965517241379	1	0.916258172607948	0.322468422233231
POSITIVE REGULATION OF THYROID HORMONE GENERATION%GOBP%GO:2000611	RESPONSE TO INTERFERON-BETA	0.744855967078189	1	-0.80193224138666	-0.313751829132122
REGULATION OF POTASSIUM ION EXPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1903764	TUBE MORPHOGENESIS	0.0105263157894737	0.423735810113519	1.51404337483921	0.373792729307393
NEGATIVE REGULATION OF OLIGODENDROCYTE APOPTOTIC PROCESS%GOBP%GO:1900142	NEGATIVE REGULATION OF FOCAL ADHESION ASSEMBLY	0.471428571428571	1	0.998029395762742	0.418569247144785
REGULATION OF DEADENYLATION-DEPENDENT DECAPPING OF NUCLEAR-TRANSCRIBED MRNA%GOBP%GO:0106288	POSITIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA RECEPTOR SIGNALING PATHWAY	0.48686030428769	1	-1.00417241715289	-0.402499273904735
AUDITORY BEHAVIOR%GOBP%GO:0031223	NEGATIVE REGULATION OF NEURON PROJECTION DEVELOPMENT	0.5	1	0.989352559856833	0.31177195744519
SCLEROTOME DEVELOPMENT%GOBP%GO:0061056	REGULATION OF EPITHELIAL CELL MIGRATION	0.124	0.793562041225593	1.23403873328132	0.378896664693712
CHROMOSOME LOCALIZATION TO NUCLEAR ENVELOPE INVOLVED IN HOMOLOGOUS CHROMOSOME SEGREGATION%GOBP%GO:0090220	REGULATION OF TRIGLYCERIDE BIOSYNTHETIC PROCESS	0.761127596439169	1	-0.785726012278771	-0.341692051712742
T CELL HOMEOSTASIS%GOBP%GO:0043029	NEGATIVE REGULATION OF BINDING	0.351278600269179	1	-1.09657463785596	-0.422841312100125
REGULATION OF POST-TRANSLATIONAL PROTEIN MODIFICATION%GOBP%GO:1901873	GLYCOSIDE METABOLIC PROCESS	0.0896358543417367	0.724162257495591	1.46858295073428	0.625891225540078
S-ADENOSYL-L-METHIONINE TRANSPORT%GOBP%GO:0015805	NUCLEOSIDE METABOLIC PROCESS	0.970390309555855	1	-0.581668042724595	-0.224292328038218
